Results:
(Key):
Vertices,Edges,VCount,ECount,PQCount
7,10,3,4,1
7,20,7,20,17
7,30,7,30,23
7,40,7,40,26
10,10,2,2,3
10,30,10,30,33
10,50,10,50,55
10,70,10,70,58
10,90,10,90,64
15,20,5,5,7
15,50,14,47,65
15,100,15,100,102
15,150,15,150,119
15,200,15,200,149
15,210,15,210,135
20,50,17,42,65
20,125,20,125,143
20,200,20,200,180
20,275,20,275,214
20,350,20,350,228
26,100,25,95,168
26,225,26,225,275
26,375,26,375,339
26,475,26,475,327
26,600,26,600,347
7,10,3,4,2
7,20,7,20,17
7,30,7,30,25
7,40,7,40,26
10,10,3,2,4
10,30,10,30,31
10,50,10,50,55
10,70,10,70,60
10,90,10,90,67
15,20,7,7,15
15,50,14,47,63
15,100,15,100,100
15,150,15,150,128
15,200,15,200,145
15,210,15,210,130
20,50,16,40,62
20,125,20,125,136
20,200,20,200,181
20,275,20,275,202
20,350,20,350,228
26,100,25,95,163
26,225,26,225,276
26,375,26,375,343
26,475,26,475,340
26,600,26,600,343
